ID_PLANO,CD_PLANO,NM_PLANO,CD_OPERADORA,RAZAO_SOCIAL,GR_MODALIDADE,PORTE_OPERADORA,VIGENCIA_PLANO,CONTRATACAO,GR_CONTRATACAO,SGMT_ASSISTENCIAL,GR_SGMT_ASSISTENCIAL,LG_ODONTOLOGICO,OBSTETRICIA,COBERTURA,TIPO_FINANCIAMENTO,ABRANGENCIA_COBERTURA,FATOR_MODERADOR,ACOMODACAO_HOSPITALAR,LIVRE_ESCOLHA,SITUACAO_PLANO,DT_SITUACAO,DT_REGISTRO_PLANO,DT_ATUALIZACAO,Previsão,Código do Plano,Assertividade
18654268,496367239,Especial 100 Adesão Trad.23 F HO QP COP RM R1,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Hospitalar com obstetrícia,Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-07-17,2023-07-17,2023-08-24,2,9,False
18658774,496502237,Especial Mais PME/Empresarial Trad.23 HO QP COP RM,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Hospitalar com obstetrícia,Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-08-04,2023-08-04,2023-08-24,2,9,False
18658824,496507238,Direto Nacional PME/Empresarial Trad.23 AHO QP F RM,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-08-04,2023-08-04,2023-08-24,2,2,True
18658874,496512234,Especial Mais PME/Empresarial Trad.23 AHO QP COP F RM,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-08-04,2023-08-04,2023-08-24,2,2,True
18658884,496513232,Direto Nacional PME/Empresarial Trad.23 AHO QC F RM,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Coletiva,Parcial sem internação,Ativo,2023-08-04,2023-08-04,2023-08-24,2,2,True
18633062,495511231,Direto Aracaju PME/Empresarial Trad.23 AHO QC COP F,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Parcial sem internação,Ativo,2023-05-20,2023-05-20,2023-08-24,2,2,True
18633172,495522236,Direto REC II PME/Empresarial Trad.23 AHO QP COP F,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-05-20,2023-05-20,2023-08-24,2,2,True
18632332,495438236,Executivo PME Trad.23 AHO QP F RM R2,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-05-20,2023-05-20,2023-08-24,2,2,True
18632532,495458231,DIRETO RIO II PME/Empresarial Trad.23 AHO QP COP F,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-05-20,2023-05-20,2023-08-24,2,2,True
18638835,495737237,Especial 100 Adesão Trad.23 F AHO QP COP RM R1,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-06-05,2023-06-05,2023-08-24,2,2,True
18639056,495750234,Executivo Adesão Trad.23 F AHO QP RM R1,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-06-05,2023-06-05,2023-08-24,2,2,True
18639155,495759238,Especial 100 Adesão Trad.23 F AHO QP RM R2,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-06-05,2023-06-05,2023-08-24,2,2,True
18639287,495771237,Exato Adesão Trad.23 A AHO QP RM,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-06-05,2023-06-05,2023-08-24,2,2,True
18639298,495772235,Exato Adesão Trad.23 F AHO QP RM,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-06-05,2023-06-05,2023-08-24,2,2,True
18632912,495496233,Direto BH PME/Empresarial Trad.23 AHO QP C,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Individual,Parcial sem internação,Ativo,2023-05-20,2023-05-20,2023-08-24,2,2,True
1373489,403030983,Ambulatorial Co-Particip.30% Cons.Semi-Privativo c/UniAir,311375,Unimed Pelotas/Rs - Cooperativa De Assistência À Saúde Ltda.,Cooperativa Médica,Médio,P,Individual ou familiar,Individual ou Familiar,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Suspenso,2023-04-12,1998-12-31,2023-08-24,2,2,True
16773488,478581179,Clássico Participativo B,357715,Unimed De Mineiros Cooperativa De Trabalho Médico,Cooperativa Médica,Pequeno,P,Individual ou familiar,Individual ou Familiar,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Ausente,Suspenso,2023-04-03,2017-07-11,2023-08-24,2,2,True
1418735,412580991,UNISAÚDE APART. C/ COOP. 50% EM CONSULTAS E 20% EM EXAMES,357715,Unimed De Mineiros Cooperativa De Trabalho Médico,Cooperativa Médica,Pequeno,P,Individual ou familiar,Individual ou Familiar,Ambulatorial + Hospitalar sem obstetrícia,Ambulatorial + Hospitalar,0,Sem Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Franquia + Coparticipacão,Individual,Parcial com internação,Suspenso,2023-04-03,1999-04-14,2023-08-24,2,4,False
18611897,491089223,PJR MGRB AHO CA GM ENF PMD 082,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Coletiva,Ausente,Ativo,2023-03-28,2022-01-13,2023-08-24,2,2,True
18610295,490083219,NOSSO PLANO AHO CE GM APT CORP AD PRM 011,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Individual,Ausente,Ativo,2023-03-28,2021-10-06,2023-08-24,2,2,True
18610334,490096211,NOSSO PLANO AHO CE GM APT CC CORP AD PRM 012,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Ausente,Ativo,2023-03-28,2021-10-06,2023-08-24,2,2,True
18604846,494758234,ADVANCE TRT AHO CE NAC APT,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial com internação,Ativo,2023-03-09,2023-03-09,2023-08-24,13,2,False
18612176,452562041,SAUDE CLASSICO I,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Suspenso,2023-03-28,2004-09-24,2023-08-24,2,2,True
18610376,490110210,MIX AHO CE GM APT CC CORP AD PRM 026,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Ausente,Ativo,2023-03-28,2021-10-06,2023-08-24,2,2,True
18610379,490111218,MIX AHO CE GM APT CC CORP PRM 026,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Ausente,Ativo,2023-03-28,2021-10-06,2023-08-24,2,2,True
18610394,490116219,MIX AHO CE GM ENF CORP PRM 021,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Coletiva,Ausente,Ativo,2023-03-28,2021-10-06,2023-08-24,2,2,True
18610481,490157216,NOSSO PLANO AHO CA GM APT PRM 017,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Individual,Ausente,Ativo,2023-03-28,2021-10-13,2023-08-24,2,2,True
18610208,480611185,PERSONNALITE EMPRESARIAL ENFERMARIA ES,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Franquia + Coparticipacão,Coletiva,Ausente,Ativo,2023-03-28,2018-05-23,2023-08-24,2,2,True
18610529,490173218,NOSSO PLANO A CA GM CC PRM 065,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial,Ambulatorial,0,Não se Aplica,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Não se Aplica,Ausente,Ativo,2023-03-28,2021-10-13,2023-08-24,2,1,False
18610532,490174216,PLENO AHO CA GM ENF PRM 053,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Coletiva,Ausente,Ativo,2023-03-28,2021-10-13,2023-08-24,2,2,True
18610562,491106227,MIX AHO CE GM ENF CC CORP AD PRM 068,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Ativo,2023-03-28,2022-01-17,2023-08-24,2,2,True
18610592,491116224,PJR MGRB AHO CA GM ENF CC PRM 116,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Ativo,2023-03-28,2022-01-17,2023-08-24,2,2,True
18610613,491123227,PJR MGRI AHO CA GM APT PRM 101,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Individual,Ausente,Ativo,2023-03-28,2022-01-17,2023-08-24,2,2,True
18610682,491146226,PJR MGRB-I AHO CE GM ENF AD PRM 147,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Coletiva,Ausente,Ativo,2023-03-28,2022-01-17,2023-08-24,2,2,True
18610700,491152221,PJR MGRB-I AHO CA GM ENF CC PRM 140,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Ativo,2023-03-28,2022-01-17,2023-08-24,2,2,True
18612356,491295221,PJR MGRB-I AHO CE GM APT PMDSS 042,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Individual,Ausente,Ativo,2023-03-28,2022-01-24,2023-08-24,2,2,True
18610733,491163226,PJR MGRS-I AHO CE GM ENF CC PRM 138,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Suspenso,2023-03-28,2022-01-17,2023-08-24,2,2,True
18652059,444675035,METROP 14 AMB/HOSP/COM CO-PARTIC 40%,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Individual ou familiar,Individual ou Familiar,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Coparticipacão,Coletiva,Total,Suspenso,2023-08-03,2003-08-15,2023-08-24,2,2,True
18610454,490148217,MIX AHO CA GM ENF PRM 031,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Coletiva,Ausente,Ativo,2023-03-28,2021-10-13,2023-08-24,2,2,True
18610661,491139223,PJR MGRB-I AHO CE GM APT CC PRM 142,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Ausente,Ativo,2023-03-28,2022-01-17,2023-08-24,2,2,True
18611303,412185996,PROMED EXECUTIVO ENF,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Parcial com internação,Ativo,2023-03-28,1999-04-06,2023-08-24,2,2,True
18611483,489085210,NOSSO PLANO AHO CA GM APT PMD 017,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Individual,Ausente,Ativo,2023-03-28,2021-06-11,2023-08-24,2,2,True
18611546,489170218,MIX AHO CE GM ENF CC CORP AD PMD 022,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Ativo,2023-03-28,2021-06-29,2023-08-24,2,2,True
18611534,489166210,MIX AHO CE GM APT CC AD PMD 036,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Ausente,Ativo,2023-03-28,2021-06-29,2023-08-24,2,2,True
18610559,491105229,MIX AHO CE GM ENF CC CORP PRM 068,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Ativo,2023-03-28,2022-01-17,2023-08-24,2,2,True
18609208,436406016,BÁSICO CP EMPRESARIAL,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Parcial sem internação,Ativo,2023-03-28,2001-08-21,2023-08-24,2,2,True
18609217,436431017,PLANO ESPECIAL CP,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Individual ou familiar,Individual ou Familiar,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Parcial sem internação,Suspenso,2023-03-28,2001-08-27,2023-08-24,2,2,True
18611636,489766218,PLENO AHO CE GM APT CORP PMD 043,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Individual,Ausente,Ativo,2023-03-28,2021-09-10,2023-08-24,2,2,True
18612428,491319221,PJR MGRS-I AHO CA GM APT PMDSS 034,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Individual,Ausente,Ativo,2023-03-28,2022-01-24,2023-08-24,2,2,True
18612425,491318223,PJR MGRS-I AHO CA GM APT CC PMDSS 033,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Ausente,Ativo,2023-03-28,2022-01-24,2023-08-24,2,2,True
18609325,470778148,ESSENCIAL CP,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Individual ou familiar,Individual ou Familiar,Ambulatorial + Hospitalar sem obstetrícia,Ambulatorial + Hospitalar,0,Sem Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Parcial sem internação,Suspenso,2023-03-28,2014-02-25,2023-08-24,2,4,False
18611705,491025227,PJR MGRB AHO CE GM ENF CC AD PMD 083,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Ausente,Ativo,2023-03-28,2022-01-13,2023-08-24,2,2,True
18609544,491408222,PJR MGRS AHO CA GM ENF PMDBR 012,368253,Hapvida Assistencia Medica S.A.,Medicina De Grupo,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Coletiva,Ausente,Ativo,2023-03-28,2022-01-27,2023-08-24,2,2,True
